street_address_raw,postcode,town_raw,price,price_raw,col_sm_4,listing_enquiry_tel,trcontainsstatus,trcontainsstyle,bedroom_number,nth_of_type,id
"Manchester Road,",M16 0DZ,"Chorlton,","200,000",Prices From,Belvoir Manchester Chorlton,0161 861 7520,For sale,Apartment,2,"Additional Information
		 CALL TODAY TO BOOK A VIEWING 
A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester. Chorlton-Cum-Hardy is a cosmopolitan of independent bars, restaurants and shops. With excellent links into the City Centre, Media City and Manchester Airport provided by the fabulous Metrolink and major motorway network.
This development has only eight apartments and all have private parking to the rear and three have private gardens. The apartments are situated over two floors and are to a very high specification. They are warmed by gas central heating and feature fully fitted kitchens with appliances to include washer dryers, dishwashers, oven and hob with extractor. To the rear of the property there are communal gardens and allocated parking for all apartments.
EPC RATING: TBC",43
"Freshfields,
						Spindletree Ave,",M9 7HQ,"Blackley,","112,000",Offers Around,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2,"Brief Description
		A fantastic opportunity to buy this 9th floor luxury three bed duplex apartment located in the Freshfields development. This is an award winning development from LPC Living with onsite gym and is situated in Charlestown, just four miles north of Manchester city centre and with many local amenities close by.",44
"W3 Building,
						Whitworth Street West,",M1 5WQ,"Manchester,","259,995",Asking Price,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2,"Brief Description
		Highly sought after central location, two large bedrooms, bathroom and en suite, large open plan living/kitchen area and balcony - this property is quintessential Manchester City Centre living.

W3 is located on the corner of Oxford Street and Whitworth Street West providing great central access to the city centre and the universities. This prestigious apartment block is popular with all ages and facets of Manchesters populace. With a full-time concierge, grand entrance hall and well maintained interior it has become one of the most desirable locations to live in Manchester.",46
"Capricorn Road,
						Blackley,",M9 7JA,"Manchester,","125,000",Asking Price,Belvoir Manchester Central,0161 236 4441,For sale,Semi-Detached House,2,"Brief Description
		BRAND NEW FULLY REFURBISHED PROPERTY. This stunning two bedroom property is a fantastic opportunity to acquire a house where you can just move in and start living.

The semi-detached house boasts a new kitchen and a new bathroom suite. The property has new carpet and flooring throughout as well as being fully repainted. The two double bedrooms and wide living room provide plenty of space for a first time buyer or small family that are looking to start enjoying their new home as soon as possible!",47
"Maitland Avenue,
						Chorlton,",M21 7WH,"Manchester,","110,000",Offers Around,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2,"Brief Description
		An opportunity to purchase 75 ownership of this stylish second floor apartment located close to Chorlton village and Chorlton water park with well-planned accommodation. Comprises briefly: entrance hall, lounge/dining room, fitted kitchen, two double bedrooms and a bathroom with a contemporary three piece suite. Double glazing and gas central heating heating are installed in all rooms. Communal gardens and private residents car parking located at the rear. Conveniently positioned for local amenities and transport links.

LOUNGE: 176 x 109
KITCHEN: 8 x 710
BEDROOM ONE: 118 x 116
BEDROOM TWO: 114 x 92
BATHROOM: 73 x 56",48
"Vie Building,
						Water Street,",M13 0RH,"Manchester,","169,950",Offers Around,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2,"Additional Information
		A fantastic two double bedroom apartment in the ever popular Castlefield area. This superb MODERN WATERSIDE DEVELOPMENT is conveniently located close to both the ring road and motorway yet still only a short walk to the City Centre and within easy reach of all local amenities.
The spacious apartment briefly comprises; entrance hallway with large storage room housing a washing machine, large and bright corner aspect open plan kitchen, living and dining area with offering delightful river views, two good size double bedrooms, and large bathroom. The apartment also benefits from having an on-site caretaker and secure allocated parking space.
Tenanted until September 2016. EPC Rating - D",45
"Church Street,",M4 1PE,"Manchester,","395,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2,"Additional Information
		Duplex penthouse apartment in one of the most central locations possible in Manchester. This truly cavernous apartment is a rare occasion to purchase a property with such a large open plan area without any support beams in the centre of the room thanks to the double arched roof.
The living and kitchen area comprises the entirety of the top floor of the property complete with balcony running the entire width of the property. The entire external wall is fully glazed allowing uninterrupted views towards the east of Manchester, towards the Moors and the beginning of the peak district. Appreciate the sunrise from one of the highest developments in the area so that your view will go unperturbed.
Downstairs are two large bedrooms, both with their own access to the full width balcony and floor to ceiling windows. The master bedroom size is beyond comprehension and will ensure that all manners of personal items and possessions will not go without a home. The second bedroom has equally impressive proportions and will ensure that any guests will go home well looked after and a possibly a bit envious.
There is an en suite attached to the master bedroom and a family bathroom accessibly from the downstairs hallway. Both are fully tiled from the floors to the walls.
Viewing is highly recommended of one of the most unique apartments to come to the Manchester market this year.
Currently tenanted until December.",51
"Holly Bank,",M43 7SP,"Droylsden,","79,000",Guide Price,Belvoir Ashton-under-Lyne,0161 343 2323,For sale,Apartment,2,"Brief Description
		We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. Any services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller by separate negotiation.",52
"Damaz,
						Sharp Street,",M4 4BJ,"Manchester,","140,000",Asking Price,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2,"Brief Description
		Spacious 2 bedroom apartments located in Manchesters fabulous Damaz building by Dylan Harvey. The apartments have been fully furnished, have spacious interiors and fully integrated kitchens. Damaz building is situated just mins to Printworks, Market Street and Deansgate. This is a truly great opportunity to live in this highly sought after development.",53
"Broughton Road,
						Salford,",M6 6LS,"Manchester,","48,500",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,1,"Brief Description
		A well presented one bedroom apartment in this period conversion. The development has a 24 hour warden and is located within easy access of the City Centre and Salford University.",54
"Skyline Chambers,
						Ludgate Hill,",M4 4TG,"Manchester,","86,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,null,"Brief Description
		A rare chance to own a STYLISH STUDIO apartment in this innovative development situated in the Ancoats, Little Italy district of the city. Skyline Chambers boasts a wealth of old and new and is located a stones throw from the TRENDY NORTHERN QUARTER OF THE CITY, just five minutes walk to the Arndale shopping centre, Deansgate and all the amenities that Manchester city centre has to offer.",55
"Spring Bridge Road,						Chorlton,",M16 8HA,"Manchester,",675,,Belvoir Manchester Chorlton,0161 861 7520,To let,Apartment,2,"Brief Description		A well presented 2 bedroom apartment located off Wilbraham Road, Chorlton. The property is located within short walking distance to local shops, restaurants and popular bars and only a five minute bus journey to the City Centre.The property consists of open plan lounge /kitchen area. There are two bedrooms and bathroom with shower. Further benefits include double glazing, intercom entry and plenty of off road private parking.The property is un-furnished.AVAILABLE JANUARY!EPC RATING: D",281
"Princess Street,",M1 6HR,"Manchester,","115,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,1,"Additional Information
		Top floor one bedroom open plan duplex apartment in a converted warehouse. This apartment is a blissful deviation from the standard modern apartment with exposed timber beams and a quirky exposed upstairs bedroom.
Set in the Grade II listed packing and shipping warehouse formerly known as Transact House, the building offers many unique styles of apartments that sets them apart from most conversions as well as purpose built apartments.
Enter through a timber door to the hallway, featuring stairs access to the 1st floor, the current living area, bathroom and store room containing the immersion heater. The downstairs open plan living space is directly lit by two timber double glazed Velux windows set at eye level of the arching roof which forms the exterior walls and ceiling. The kitchen has space for a built in fridge/freezer, washing machine, dishwasher, extractor hood, electric hob, oven and sink with drainer. The bathroom has an inset bath with overhead shower, a countertop sink on a wooden table-style counter, a WC, chrome towel rail, extractor and tiled flooring.
The first floor current bedroom area is split into two levels. The lower level offers space for sleeping or living accommodation (or a mix of the two) with carpeted flooring, TV point, telephone point and electric panel heater. This is all set behind glass balustrades on a metal frame with wooden handrails. The stairs itself features vertical metal cable balustrades as an acknowledgement to the industrial heritage of the apartment. To the higher level of the first floor, set behind another set of glass balustrades is area for storage or a small study space. This area is directly lit by a double glazed Velux window.
Tenanted until January 2016.
Ground rent - 100p.a.
Service charge - 162.30pcm
Lease - 125 years from 2002",56
"The Foundry,
						Lower Chatham Street,",M1 5TF,"Manchester,","200,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2,"Brief Description
		A rare opportunity to buy this stylish 2 double bedroom apartment with a secure allocated parking space in this conveniently located development. Situated just off Oxford Road, The Foundry is one of Manchesters hottest development for students and professionals alike as it is located just five minutes walk to Deansgate, Oxford Road Station and The Universities. This apartment includes secure allocated underground parking.",57
"Castlegate,
						Chester Road,",M15 4QG,"Manchester,","265,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2,"Additional Information
		On offer is a truly remarkable high spec apartment in the desirable Castlegate development in Castlefield. This large two bedroom apartment, formerly the show apartment unit, exudes quality and well thought out design and execution throughout.
Enter from the well serviced and maintained communal hall into the wider than average apartment hallway. From here the open plan living/kitchen area, both bedrooms, the main bathroom and utility room can be accessed.
The large living area has floor to ceiling glazing on the exterior walls as well as plenty of space for sofas and a dining table. The adjoined kitchen area has plenty of workspace and integrated high standard Miele appliances including dishwasher, fridge/freezer, oven and hob. There is also plenty of storage and a large extractor hood.
The master bedroom has a sliding patio door that leads out to a private balcony . On the other end of the room is a dressing area with integrated wardrobes one side and the entrance to the luxury en suite with walk in double shower on the other.
The bathroom is fitted to the same standard as the en suite with Hansgrohe specified fixture and fittings and a bath with overhead shower.
The utility room contains the immersion heater as well as space and plumbing for a washing machine underneath.",59
"Manchester Road,
						Old Trafford,",M16 0DZ,"Manchester,","210,000",Prices From,Belvoir Cheadle,0161 485 4778,Sale agreed,Apartment,2,"Brief Description
		A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester.",60
"Manchester Road,
						Old Trafford,",M16 0DZ,"Manchester,","210,000",Prices From,Belvoir Cheadle,0161 485 4778,Sale agreed,Apartment,2,"Additional Information
		A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester. Chorlton-Cum-Hardy is a cosmopolitan of independent bars, restaurants and shops. With excellent links into the City Centre, Media City and Manchester Airport provided by the fabulous Metrolink and major motorway network.
This development has only eight apartments and all have private parking to the rear and three have private gardens. The apartments are situated over two floors and are to a very high specification. They are warmed by gas central heating and feature fully fitted kitchens with appliances to include washer dryers, dishwashers, oven and hob with extractor. To the rear of the property there are communal gardens and allocated parking for all apartments.
EPC RATING: TBC",61
"Manchester Road,
						Old Trafford,",M16 0DZ,"Manchester,","210,000",Prices From,Belvoir Cheadle,0161 485 4778,Sale agreed,Apartment,2,"Additional Information
		A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester. Chorlton-Cum-Hardy is a cosmopolitan of independent bars, restaurants and shops. With excellent links into the City Centre, Media City and Manchester Airport provided by the fabulous Metrolink and major motorway network.
This development has only eight apartments and all have private parking to the rear and three have private gardens. The apartments are situated over two floors and are to a very high specification. They are warmed by gas central heating and feature fully fitted kitchens with appliances to include washer dryers, dishwashers, oven and hob with extractor. To the rear of the property there are communal gardens and allocated parking for all apartments.
EPC RATING: TBC",62
"Brown Street,",M35 0AX,"Failsworth,","79,500",Guide Price,Belvoir Oldham,0161 626 5501,Sale agreed,End-Terrace House,2,"Brief Description
		Calling Investors / 1st Time Buyers: We are delighted to receive instructions from our clients to offer for purchase this end terrace property conveniently located for good transport links to all surrounding towns via the bus and new tram links, local amenities and easy access to motorway network of M60. The property briefly comprises; entrance vestibule, lounge, kitchen diner, two first floor bedrooms and bathroom w.c. The property has the benefit of uPVC double glazing and gas central heating. Outside the property is pavement fronted with an enclosed rear yard.",63
"Ordsall Lane,
						Salford,",M5 3WJ,"Manchester,","99,950",null,Belvoir Manchester Central,0161 236 4441,Sale agreed,Apartment,2,"Brief Description
		A spacious two bedroom apartment with allocated parking and a balcony in this purpose built development in a desirable location. Situated on Ordsall Lane, Quay 5 is located just a few minutes walk to Regents Road, Deansgate and Salford Quays making it a fantastic option for professionals to commute into work whilst having the benefits of a secure parking space.",68
"Hope Road,",M14 5BB,"Manchester,",585,,Belvoir Manchester Central,0161 236 4441,Let,Apartment,1,"Brief Description		A very SPACIOUS and well presented ONE BEDROOM apartment set just off Upper Brook Street. The apartment is in a fantastic location for those looking for accommodation close to the hospitals or the Universities as well as Manchester City Centre and the amenities it has to offer.",309
"Quay 5,
						Ordsall Lane,",M5 3NB,"Manchester,","110,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Sale agreed,Apartment,2,"Brief Description
		The spacious living area benfits from a large double glazed window, TV, satellite, & phone points. Centre pendant light and individually controlled electric wall panel heater. Fully fitted modern style kitchen. Electric hob, extractor hood over integrated stainless steel oven. Laminate flooring throughout.",71
"Krupa Building,
						Sharp Street,",M4 4BZ,"Manchester,","125,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Sale agreed,Apartment,2,"Additional Information
		NORTHERN QUARTER apartment in the KRUPA BUILDING located just five minutes walk to the Arndale shopping centre, Deansgate and Victoria station. Currently tenanted until July 2016.
The apartment has an open plan lounge/kitchen, with laminate flooring and a Juliet balcony. The fitted kitchen has integrated appliances such as a fridge/freezer, electric oven and hob, washing machine and extractor hood. There is also plenty of cupboard space and a breakfast bar to increase the functional use of the space. The balcony looks out towards the city centre and the exciting new NOMA regeneration developments surrounding the Co-operative Groups iconic head offices and Victoria Station.
The property has two bedrooms, both sharing the views of the living room. The master bedroom, just off the entrance hallway has carpeted flooring while the second bedroom, just off the living space has floor to ceiling windows running the expanse of the exterior wall. This makes a very well lit bedroom or an ideal office/studio space. It is partitioned from the living space by a sliding door with full length mirrors to the bedroom.
The bathroom is accessed just off the entrance hallway with a white three piece suite featuring a wash basin, WC, bath with overhead shower and tiled flooring.
Tenanted until July 2016. Ground rent: 250p.a. Service charge: approx 1300p.a. Lease length: 250 years from 2005",72
"28 City Road East,",M15 4TD,"Manchester,","160,000",Offers Around,Belvoir Manchester Central,0161 236 4441,Sale agreed,Apartment,2,"Additional Information
		This first floor, 2 bedroom, 2 bathroom apartment with front facing balcony is part of the popular, The Nile development on City Road East. The building is comfortably situated in this fast growing, increasingly popular area of the city in close proximity to Castlefield, Deansgate and Spinningfields with their wealth of exclusive bars, shops and restaurants.
The Nile is also fantastically located for commuters using rail, tram or motorway with Deansgate and Oxford Road Train/tram stations within walking distance and M60/M61 and M602.
The building is entered via a secure reception lobby which leads to a stairway and a lift accessing all 6 floors of the building.
Lounge/Dining Room (3.84m x 4.18m)
This spacious living area benefits from a large floor to ceiling double glazed window TV, Satellite & phone points. Electric wall heater, up-lights on walls and laminate flooring.
Kitchen (1.97m x 3.29m)
Fully fitted with integrated appliances. Electric hob, with stainless steel extractor hood over, electric fan oven. Fridge, freezer, dishwasher and washer/dryer with laminate flooring and spot lights on ceiling. Bedroom One (2.77m x 4.61m)
En Suite (1.89m x 2.65m)
Large master bedroom, fully carpeted with double glazed window. Electric wall heater and single pendant light on ceiling. En suite with tiled flooring and walls, shower cubicle, WC, sink and heated chrome towel rail.
Bedroom Two (2.6m x 2.5m)
Double second bedroom, fully carpeted with electric wall heater, double glazed window and single pendant light on ceiling. Separate Bathroom with tiled flooring and walls, bath including shower, WC, sink and heated chrome towel rail.
EPC Rating - D CURRENTLY TENANTED UNTIL JANUARY 2016 ACHIEVING 800 PCM RENT. Service Charge: 1150 per annum Ground Rent: 200 per annum Lease Term: 999 years from 1st January 2004",73
"Burnside Drive,						Burnage,",M19 2LZ,"Manchester,",995,,Belvoir Cheadle,0161 485 4778,To let,Semi-Detached House,3,"Brief Description		Immaculately presented and recently refurbished three bedroom semi-detached property situated in the popular residential area ofBurnage and in short distance to transport links leading towards the City Centre and its surrounding areas.",255
"Chaseley Field Mansions,						21 Chasley Road,",M6 7DZ,"manchester,",695,,Belvoir Manchester Central,0161 236 4441,To let,Apartment,1,"Additional Information		A rare chance to rent this stunning 1double bedroomapartment which is located in one of Salfords most sought after GRADE TWO listed GATED developments. The Gatehouse at Chaseley Field Mansions is situated in its own peaceful grounds and located just TEN minutes from Manchester City Centre.",256
"Lakeside Rise,",M9 8QB,"Manchester,",725,,Belvoir Oldham,0161 626 5501,To let,Town House,3,"Brief Description		The property briefly comprises entrance hall, downstairs w.c, three double bedrooms, master with en-suite shower, full fitted kitchen with integrates appliances including fridge freezer, washing machine and electric oven and hob, lounge area leading to large terrace, family bathroom, integrated garage, allocated parking, gas central heating and double glazing throughout.",257
"Summerfield Court,						Edge Lane,",M21 9JN,"Manchester,",825,,Belvoir Cheadle,0161 485 4778,To let,Apartment,2,"Brief Description		A simply stunning and newly refurbished 2 bedroom top floor apartment located in a purposed built block.",258
"18 Church Street,",M4 1PN,"Manchester,",860,,Belvoir Bury,0161 764 8525,To let,Apartment,2,"Fee Information					Important Notice - The price shown for this property is the calendar monthly rental cost only. Tenant application charges and possibly other fees may apply but can vary due to a customers individual circumstances and are therefore excluded from the price shown. A full list of charges made to the tenant are displayed on our Tenant page - click here to view.",259
"Grimshaw Street,",M35 0DF,"Failsworth,",550,,Belvoir Oldham,0161 626 5501,To let,End-Terrace House,4,"Fee Information					Important Notice - The price shown for this property is the calendar monthly rental cost only. Tenant application charges and possibly other fees may apply but can vary due to a customers individual circumstances and are therefore excluded from the price shown. A full list of charges made to the tenant are displayed on our Tenant Information page - click here to view",260
"Brazil Street,",M1 3PW,"Manchester,","1,550",,Belvoir Manchester Central,0161 236 4441,To let,Apartment,2,"Brief Description		STUNNING DUPLEX LOFT CONVERSION to rent in this superbly located development in the heart of The Village. With easy access to Oxford Road, City Centre, Universities and all other local amenities, Brazil House is one of Manchesters best period conversions with its fantastic location.The property consists of, on the ground floor, an entrance hallway, superb open plan living room COMPLETE WITH ORIGINAL EXPOSED BEAMS and incorporates a fully fitted kitchen with integrated appliances. Further on there is a master double bedroom and family bathroom with overhead shower. To the first floor there is a galleried study area, second double bedroom and further shower room.This stunning apartment also benefits from stylish furnishings, electric heating, EXPOSED BRICKWORK, plenty of natural light and real wood flooring.Viewings are highly recommended to appreciate the accommodation on offer. Available NOW. VIEWINGS START NOW. EPC RATING: E.",261
"Hilbury Avenue,",M9 8AS,"Manchester,",550,,Belvoir Manchester Central,0161 236 4441,Let agreed,Terrace House,2,"Additional Information		Available immediately, A spacious un-furnished family home, in a popular residential area of Blackley, Manchester. The property consists of a porch, lounge, kitchen diner, 2 double bedrooms and a family bathroom as well as a driveway to the front providing off road parking and a rear garden laid to lawn.Anticipated interest is expected to be high so please ensure you enquire early to avoid missing this property.",279
"Lord Street,",M4 4FQ,"Manchester,",950,,Belvoir Manchester Central,0161 236 4441,Let agreed,Apartment,2,"Brief Description		A fantastic SIXTEENTH FLOOR fully furnished two bedroom apartment located in Manchesters popular area Green Quarter. This apartment comprises of the following; open plan living room, integrated kitchen, a spacious balcony and superb views overlooking Manchester, two double bedrooms, one including an en-suite. Available from mid-November.",285
"Hamsterley Avenue,",M18 7TP,"Stockport,",650,null,Belvoir Oldham,0161 626 5501,Let agreed,Semi-Detached House,3,"Additional Information		Belvoir are pleased to present this 3 bed semi-detached house located only 10 minutes from Manchester city centre.Comprising of 3 bedrooms including 2 doubles and 1 single;the property also benefits from en-suite to master bedroom, family bathroom, spacious lounge with patio doors and kitchen/diner complete with oven/hob, washer, dishwasher and fridge/freezer.Outside the property is large garden, and there is also off street parking thanks to a private driveway.The property sits on Hamsterely Avenue off Wayland Road South, Gorton at the Peacock Gardens development. Ideal for families or sharing professionals, the location of the property is within easy reach of Manchester Royal Infirmary and the famous BelleVue Stadium. Debdale Park and the Manchester Climbing centre are also within close proximity to the development, along with the following schools: Gorton Mount Primary; Cedar Mount High School; and St Peters High School.Call us now for further information or to arrange a viewing!With Belvoir you can LET us do all the work!RIGHT TO RENT From the 1st of February 2016 the Right to Rent government scheme came into effect. This requires all Agents to check the documents of prospective tenants when applying for a rental property. When coming to view a property with Belvoir Oldham we ask that you bring with you the appropriate document(s) in case you wish to proceed with an application. The simplest way to conform with the regulation is to bring a valid British or EU passport with you. If you do not have a passport, please follow the link below to see alternate acceptable document(s) for the right to rent checks (copy and paste the following link into your browser) : https://www.belvoir.co.uk/right-to-rent-p9678Important Notice-The only price shown on this advert is the calendar monthly rental cost of this property. Tenancy application charges and possibly other fees will apply but can vary due to a customers individual circumstances and are therefore excluded from the price shown. A full list of charges made to a tenant are displayed on our website (copy and paste the following link into your browser) : https://www.belvoir.co.uk/tenants-information-p659",262
"35 Radium Street,",M4 6AH,"Manchester,",950,,Belvoir Manchester Central,0161 236 4441,To let,Apartment,2,"Fee Information					Important Notice - The only price shown on this advert is the calendar monthly rental cost of this property. Tenancy application charges and possibly other fees will apply but can vary due to a customers individual circumstances and are therefore excluded from the price shown. A full list of charges made to a tenant are displayed on our Tenants guide page",263
"Old School Court,						Blackley,",M9 8DR,"Manchester,",395,null,Belvoir Oldham,0161 626 5501,Let agreed,Apartment,1,"Additional Information		Belvoir SalesLettings are pleased to present for LET this flat on Old School Court in Blackley.The property has 1 bedroom and benefits from a great location with local towns, Manchester City centre as well as the M60 motorway all easily reachable.For more information please call the Oldham office.With Belvoir you can LET us do all the work!RIGHT TO RENT From the 1st of February 2016 the Right to Rent government scheme came into effect. This requires all Agents to check the documents of prospective tenants when applying for a rental property. When coming to view a property with Belvoir Oldham we ask that you bring with you the appropriate document(s) in case you wish to proceed with an application. The simplest way to conform with the regulation is to bring a valid British or EU passport with you. If you do not have a passport, please follow the link below to see alternate acceptable document(s) for the right to rent checks (copy and paste the following link into your browser) : https://www.belvoir.co.uk/right-to-rent-p9678Important Notice-The only price shown on this advert is the calendar monthly rental cost of this property. Tenancy application charges and possibly other fees will apply but can vary due to a customers individual circumstances and are therefore excluded from the price shown. A full list of charges made to a tenant are displayed on our website (copy and paste the following link into your browser) : https://www.belvoir.co.uk/tenants-information-p659",264
"Chaseley Road,",M6 7DZ,"Pendleton,",975,null,Belvoir Manchester Central,0161 236 4441,Let agreed,Apartment,2,"Additional Information		A superb 2 bedroom spacious converted apartment in a beautiful period Victorian gatehouse to the Chaseley Mansions development in Salford.This property is located conveniently for the M602 motorway links, metro tram line and city centre commuters alike and represents an excellent rental property for professionals, couples and families alike.",265
